,2020,2019,2018,2017
자본금,4208958000,4171708000,3369667000,3369667000
자산총계,59827446257,62884817456,34513553756,34814083686
당기순이익,-4628442110,184358565,-4240509623,-5549226071
영업활동현금흐름,903850333,-2771344996,-651088385,-1552010320
영업이익,-4276297380,-433078079,-3813248277,-4569224847
매출액,17861721568,18168039552,10051483713,6937221802
종가,24250,18600,,
시가총액,204134463000,155187537600,,
상장주식수,8417916,8343416,,
