,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,4871703000,4871703000,4871703000,4871703000,4871703000,4871703000,4871703000,4871703000,4842000000,4842000000,4842000000
자산총계,435517611657,430547774354,395793762798,394148895494,354239615405,359013564704,319436612965,303956396828,295923892665,237599508562,209348411042
당기순이익,-16561273829,363384165,7117362365,25331267536,16341937371,15620108371,-2296173537,11185661660,9202573256,-4315330221,3186153380
영업활동현금흐름,2436415845,2187956483,22291247387,31597456061,33108321362,39480953659,5667161424,35247835333,21880536717,2348312344,7880597013
영업이익,-4940414714,6983006771,11287302257,40890159267,28986365650,21521329868,2553819526,22425375512,16426629906,927977194,6535801606
매출액,223892692078,248551604958,253421810377,315448056126,295988037062,314002602112,178526172783,247996982324,187424446873,97857108686,93835663370
종가,38650,29650,18000,49300,21950,21100,14200,11550,11650,3550,7120
시가총액,376582641900,288891987900,175381308000,480349915800,213867761700,205585866600,138356365200,112536339300,112818600000,34378200000,68950080000
상장주식수,9743406,9743406,9743406,9743406,9743406,9743406,9743406,9743406,9684000,9684000,9684000
