,2020,2019,2018
자본금,1579900000,1169805000,1132005000
자산총계,54259282642,18466012867,19034407532
당기순이익,14712171660,-2597727473,-228842938
영업활동현금흐름,9979462579,-446503907,254239015
영업이익,18099074344,-1759914788,-415481145
매출액,49445117659,9393622576,12928806012
종가,169200,,
시가총액,534638160000,,
상장주식수,3159800,,
