,2020,2019,2018,2017,2016,2015,2014,2013
자본금,11703538500,11548538500,11184296500,11184296500,11184296500,10200784000,8399270000,8382150000
자산총계,113130080401,108321009338,100658988645,92317775679,91781522048,89660380643,61499200549,54533159077
당기순이익,4885133771,804927767,1127491377,-2318172338,2432487473,,4164340472,7977585264
영업활동현금흐름,16029553184,9691195944,14974585511,7602718450,5007177278,18124607276,7531088510,9190039695
영업이익,7114280946,-844577454,1890923814,-2113967369,2086031679,10364351446,7150329401,9521853532
매출액,82439762191,80374370042,75327657355,69201508003,60075612321,66935881035,64821313772,61737743583
종가,4080,3245,2370,2645,4420,3755,,
시가총액,95500874160,74950014865,53013565410,59164928485,98869181060,76607887840,,
상장주식수,23407077,23097077,22368593,22368593,22368593,20401568,,
