,2020,2019,2018,2017,2016
자본금,4291453100,3617294000,3617294000,2854509400,2432140000
자산총계,160304929420,96400084992,75102071615,13745691813,8489001155
당기순이익,-9433328400,-8605224718,-7253213818,-6286476464,-3866552681
영업활동현금흐름,-5497304015,-9363282344,-5961268097,-4031099842,-3341764027
영업이익,-5108643510,-8553545648,-6815179179,-5379045760,-3245322810
매출액,92541208930,56721869566,21496787319,3234750458,1393005758
종가,9500,5350,5220,,
시가총액,407687978000,193525229000,188822746800,,
상장주식수,42914524,36172940,36172940,,
