,2019,2018,2017,2016,2020,2015
자본금,4782706000,4782706000,4673242000,4470742000,,
자산총계,15965336395,13115938588,12075223820,8682262536,,
당기순이익,-1737108570,730471572,-3617604004,-2422742259,,
영업활동현금흐름,-5688146043,3765783642,-3513388389,-2588033348,,
영업이익,-1113718143,2042970174,-3033224826,-2289498070,,
매출액,16094369196,21566238489,11030823922,10910392276,,
종가,5380,5980,7310,8050,4200.0,6100.0
시가총액,51461916560,57201163760,68322798040,71817946200,40174730400.0,46962033400.0
상장주식수,9565412,9565412,9346484,8921484,9565412.0,7698694.0
