,2020,2019,2018,2017
자본금,98503965000,98503965000,98503965000,49381475000
자산총계,3355861001000,3188050894000,3126514886000,2228657259000
당기순이익,8504674000,50881204000,141055392000,46608709000
영업활동현금흐름,274750857000,155269123000,-59637152000,7514540000
영업이익,91569558000,157792528000,208732469000,95232713000
매출액,2617535552000,2852139163000,3233935220000,1886746665000
종가,32750,29900,42700,169000
시가총액,645200970750,589053710700,841223861100,1669093855000
상장주식수,19700793,19700793,19700793,9876295
