,2020,2019,2018,2017,2016
자본금,4715298500,4715298500,4715298500,3970307000,3970307000
자산총계,254032738665,231433762781,148595796803,71917923059,45853620301
당기순이익,8561300675,7782007668,-28248530016,5091125020,
영업활동현금흐름,30403654585,20286682414,5895770324,12267562235,
영업이익,8373244180,9836691421,15586723928,7397772227,
매출액,247336104449,217244740399,165386968963,142577728431,
종가,63500,51200,109800,,
시가총액,598842909500,482846566400,1035479550600,,
상장주식수,9430597,9430597,9430597,,
