,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,12198229000,12198229000,12198229000,12198229000,12198229000,12188291500,12188291500,12186541500,12165583500,12072233500,11799233500
자산총계,119533011202,106751659629,92630175953,90291874336,90523157945,82673760579,78857194256,81696674621,91801592277,106192858966,88363867159
당기순이익,6667445687,7268999191,4837011823,1495848695,7174766285,5635159870,1802528699,8516172710,-7070095082,-3074002122,5217297062
영업활동현금흐름,16154960822,14904247722,6646927486,7693104069,5744385472,6885298785,3077566605,7490238676,2774759373,4942565442,-247232149
영업이익,7283854567,7072335909,2351756286,5543879097,6637283674,4437379265,3077444374,2546830150,-4753727178,-1680621896,6250665870
매출액,70069398667,74267024526,64315329284,72774153712,71497682817,61794723711,62780076474,64610660759,81135306231,78714494748,83448110652
종가,6880,5770,5900,8240,6860,9380,7240,7170,8600,16500,6580
시가총액,167847631040,140767562660,143939102200,201026813920,167359701880,228652348540,176486460920,174755005110,209248036200,398383705500,155277912860
상장주식수,24396458,24396458,24396458,24396458,24396458,24376583,24376583,24373083,24331167,24144467,23598467
