,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,16848000000,16848000000,16848000000,16848000000,16848000000,16848000000,16848000000,16848000000,16848000000
자산총계,1151216506872,920753658550,813973083720,768622706092,808701981782,449819487462,415311922264,336453376963,288058101259
당기순이익,6427507633,-7541269379,34566322266,55186478985,50305194879,67677369117,70952961977,54374771811,42679188645
영업활동현금흐름,62182394257,-6640832110,29788144931,60561153197,65280856846,43533437257,119713595175,84509601453,55816164066
영업이익,29368217041,28733442319,61169836392,80011883269,78993181594,89860462652,91602990868,69180373660,53154893142
매출액,539122853513,497987352261,474084338739,476825622853,441108681666,406415813102,392506801053,351987430550,319029253450
종가,12100,9450,12800,16300,153500,185500,,,
시가총액,407721600000,318427200000,431308800000,549244800000,517233600000,625060800000,,,
상장주식수,33696000,33696000,33696000,33696000,3369600,3369600,,,
