,2020,2019,2018,2017,2016,2015,2014,2013
자본금,3528000000,3528000000,3528000000,3528000000,3528000000,2352000000,2000000000,2000000000
자산총계,194228001004,240877329898,204183222734,199661831329,181861554764,155576268734,97347009678,80022854436
당기순이익,-39622285550,-5699436292,-7803949646,-5505557071,12899999898,13437508191,11614179250,13909129023
영업활동현금흐름,-8120174671,1758201340,-13854119330,-1922921086,1494533684,-950776252,14426398715,16418286545
영업이익,-25530976710,-274992043,-5036328012,-1912946036,17639125245,17437986197,14869698343,14866852201
매출액,113458576052,172026783233,180974832764,205732327503,233120693928,219924759816,205149670361,169985563036
종가,8920,10450,11250,17700,22750,37850,,
시가총액,157348800000,184338000000,198450000000,312228000000,401310000000,445116000000,,
상장주식수,17640000,17640000,17640000,17640000,17640000,11760000,,
