,2020,2019,2018,2017,2016,2015
자본금,6539925000,6511500000,6471500000,6033150000,369715000,349750000
자산총계,897191642084,867391014845,712530156692,296580573490,44336243442,19296256537
당기순이익,100853964155,157651213701,146446177343,14730523696,50861093151,
영업활동현금흐름,157434023396,168357272875,159275391811,26521903542,46576174736,
영업이익,157293742558,150603491592,168108962890,21656734743,59568170184,
매출액,488768843749,535936506392,404763991648,52383846935,92730434993,
종가,260300,185200,207900,247600,,
시가총액,3404684955000,2411859600000,2690849700000,2987615880000,,
상장주식수,13079850,13023000,12943000,12066300,,
