,2020,2019,2018
자본금,4633500000,4633500000,4170000000
자산총계,208655360229,169235826798,113931476382
당기순이익,11276135263,12879367892,11995392991
영업활동현금흐름,29620674619,11718200963,11893912852
영업이익,10657835807,13432507477,13169602682
매출액,78110259569,65559473832,57164228190
종가,33150,28900,
시가총액,307201050000,267816300000,
상장주식수,9267000,9267000,
