,2020,2019,2018,2017
자본금,4625746000,4558823500,3500000000,700000000
자산총계,127280651124,115217984715,40391379814,23607845974
당기순이익,2545914576,17134445045,10339405935,1763385037
영업활동현금흐름,4790687106,8393946592,-2969682482,2734543061
영업이익,628572854,20846672212,10508932120,2263236182
매출액,45354760701,91102338996,76831920541,40129075865
종가,23550,25150,,
시가총액,217872636600,229308822050,,
상장주식수,9251492,9117647,,
