,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,5414723500,5414723500,4563659500,4563659500,4525409500,1346852500,1346852500,1000000000,1000000000
자산총계,80446301737,91707821398,99522734430,111955399684,95214581737,30798818826,20897058077,19206903825,9333581276
당기순이익,-7622748893,-5652546705,-14660211564,-10418356717,-1006338068,5151163719,2308582996,5176735598,2021520857
영업활동현금흐름,1499559125,4948026535,-2999581667,-1439214623,965039659,10506166838,-331944532,3098684709,2168825235
영업이익,-2710326167,2062961274,-4662767636,-2475048333,2289107142,5921783122,2599984027,6454277227,2731557540
매출액,30337042274,40634665592,39541474730,35070797234,44038857659,40588241562,39592578313,46853888333,30292846242
종가,1485,1735,2045,3040,4910,,,,
시가총액,80408643975,93945452725,93326836775,138735248800,222197606450,,,,
상장주식수,54147235,54147235,45636595,45636595,45254095,,,,
