,2020,2019,2018,2017,2016
자본금,21880138000,14007236500,11441356000,10930000000,
자산총계,84890096506,59153079720,52453345824,55276578051,
당기순이익,-8582863803,-2068065571,-2640020928,-1784025390,-12945187237
영업활동현금흐름,-4336221281,-1762939174,266708504,-3326817252,522299958
영업이익,-4334769160,-639453410,-488875700,-862807396,-237932377
매출액,16190177636,10353414535,25225051437,13971222866,16025310279
종가,1765,,,,
시가총액,77236887140,,,,
상장주식수,43760276,,,,
