,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000,50400145000
자산총계,916234313217,947504079112,950210536985,940545761393,932198393250,929282858015,915624764554,919770391671,969970671458,980932781069,910741764881
당기순이익,-13416107380,14487010503,35034112136,31678674857,31789401578,9354846549,17115417346,27460171873,50169996317,67352654699,75712017810
영업활동현금흐름,-7265086869,45406720705,49467504758,58345001161,75794062404,-5444637907,27347776789,39753885686,83248845665,91595204542,93409018198
영업이익,-14618313385,6275157301,24889473201,32621677585,16262543896,6543357838,4621049297,28410446981,47834862913,69183827693,74542104639
매출액,335846270472,427065042452,557945581769,558437441837,507283934955,500503730109,480039122273,527571697370,752326490608,739987134081,717800434021
종가,26500,36900,45900,63400,54900,49850,67800,68800,63000,49500,54400
시가총액,267120768500,371953070100,462673331100,639073838600,553393592100,502489445650,683425966200,693505995200,635041827000,498961435500,548353577600
상장주식수,10080029,10080029,10080029,10080029,10080029,10080029,10080029,10080029,10080029,10080029,10080029
