,2020,2019,2018
자본금,1267336500,822892500,708960500
자산총계,18840054461,11915530872,9975604501
당기순이익,-7344923030,-1705828045,
영업활동현금흐름,-1019318515,-79733860,
영업이익,-996203292,102139928,
매출액,9815308301,9343574752,
종가,22700,15450,
시가총액,39817389000,25427378250,
상장주식수,1754070,1645785,
