,2020,2019,2018,2017,2016,2015,2014
자본금,1778476800,1601663760,1601663760,1461871400,1334769600,1334769600,
자산총계,192963967206,172776344815,161739030276,118341155231,96420404284,79356291011,
당기순이익,3194252372,5870089737,8649566115,8065197994,6474768683,6326463898,
영업활동현금흐름,-1249870834,16209943992,5339702637,7899693828,243663509,8781652758,
영업이익,3276421427,6572137297,9283104000,8874015568,6910879258,6615733869,
매출액,56933114034,51733795622,55114400399,50207424013,45657695807,41414969862,
종가,23600,14450,22400,22400,25550,33350,17750.0
시가총액,209860262400,115720195100,179386323200,163729596800,170516816400,222572830800,118460802000.0
상장주식수,8892384,8008318,8008318,7309357,6673848,6673848,6673848.0
