,2020,2019,2018,2017
자본금,2604905500,2591905500,1062000000,50800000
자산총계,24783032412,26410722662,3968528397,6232292450
당기순이익,-4508265868,-5970720443,-3761305578,-4784952744
영업활동현금흐름,-1782600313,-5786602029,-1518105507,-2290349597
영업이익,-4956445659,-5737235186,-1669432388,-2649860605
매출액,5892419248,2545147242,3505445449,2221582486
종가,12500,17900,,
시가총액,65122637500,92790216900,,
상장주식수,5209811,5183811,,
