,2020,2019,2018,2017
자본금,12915882000,12915882000,12915882000,12915882000
자산총계,256678789259,224727531223,220488718080,200503428871
당기순이익,-2317447714,2632410624,18123380045,17506765311
영업활동현금흐름,-2612385419,6991148221,19537164319,22035615871
영업이익,-3403502323,4256779190,16969080946,16841961640
매출액,276183344324,270567996273,250159235408,230843688460
종가,3335,3570,3745,4075
시가총액,86148932940,92219397480,96739956180,105264438300
상장주식수,25831764,25831764,25831764,25831764
