,2020,2019,2018,2017,2016,2015
자본금,3900103900,2725054500,2725054500,2706054500,497070000,492070000
자산총계,426126647519,444300832259,436500669600,201503771220,136644924954,104971867404
당기순이익,-17944888699,-38451988659,-2372641475,20102908905,20527417674,-4122221479
영업활동현금흐름,31127936491,19216829911,-13863943056,23722733249,10128978426,-6238356237
영업이익,10639189663,-2648875373,-384402935,26559274000,21231062198,3141575396
매출액,353806838478,313649740556,212859110116,254864665120,235228963581,165038196119
종가,6550,2425,3985,32050,,
시가총액,255456805450,66082571625,108593421825,173458093450,,
상장주식수,39001039,27250545,27250545,5412109,,
