,2020,2019,2018
자본금,2147071500,1945456000,2511964000
자산총계,237465157616,196685502068,153392507498
당기순이익,13657228794,14267493828,16196509296
영업활동현금흐름,15380665484,9185511740,51276611532
영업이익,21666488653,19320080544,19116446587
매출액,326895260659,228382899528,160275379774
종가,49100,,
시가총액,210842421300,,
상장주식수,4294143,,
