,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,5071922500,5071922500,5071922500,4974306500,4024306500,3734830500,3734830500,2656478000,1207490000
자산총계,89293147424,86471264586,86006661078,89470578990,71157054220,59724862650,53378112313,35664791288,21695752875
당기순이익,253745819,-2697452917,-758628326,6161176532,381970544,-571546909,6926671649,6538947195,2337933589
영업활동현금흐름,265763644,1236291008,7961223204,9262472895,5763778147,1681668825,7669596034,7415077425,2852837694
영업이익,616670761,-733303903,-436909890,9883751028,876916656,-1042343777,8689561520,8636244576,3860372972
매출액,44413659375,44341305776,38696578794,55347068905,35206910825,34122745277,53470446525,53771574185,31891742378
종가,3095,2670,3190,5100,8050,4955,5380,,
시가총액,31395200275,27084066150,32358865550,50737926300,64791334650,37012170255,40186776180,,
상장주식수,10143845,10143845,10143845,9948613,8048613,7469661,7469661,,
