,2020,2019,2018,2017,2016,2015
자본금,8848083500,8848083500,8848083500,8848083500,8848083500,
자산총계,146472376580,137289914922,130513800804,130846671734,127456362905,
당기순이익,-3685928239,3705356943,639868544,712295936,-3260259241,
영업활동현금흐름,-7543061621,6764055078,838073422,1884345351,-2827076091,
영업이익,-2809510278,3831642383,1221446636,1989436960,-1607991720,
매출액,52940999961,73686264857,51699965760,44684830225,32862640162,
종가,5070,4920,5300,7100,8190,15800.0
시가총액,89719566690,87065141640,93789685100,125642785700,144931607730,275649438600.0
상장주식수,17696167,17696167,17696167,17696167,17696167,17446167.0
