,2020,2019,2018,2017,2016,2015,2014,2013
자본금,5824574500,5744277500,5497296000,5483171000,,,,
자산총계,44427028873,47309380878,54044076308,30284294273,,,,
당기순이익,-14863039978,-8740333564,-5907911405,-8450890030,,,,
영업활동현금흐름,-9754397041,-8321234642,-7482694489,-6759457511,,,,
영업이익,-13674653992,-9354868238,-8265921325,-9292861812,,,,
매출액,3363423685,4245379708,2035287736,301033820,,,,
종가,12750,11550,14350,19500,11250.0,14700.0,9890.0,4505.0
시가총액,148526649750,132692810250,157772395200,197242500000,112916250000.0,147000000000.0,78076595110.0,34239297440.0
상장주식수,11649149,11488555,10994592,10115000,10037000.0,10000000.0,7894499.0,7600288.0
