,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,17079214000,12173292000,12173292000,12173292000,11163203500,10972707500,,,,,
자산총계,779778510976,839945994440,813349228763,728156875981,601184722829,548348696814,,,,,
당기순이익,56486189505,-39404352855,2315022825,16099696066,29304525293,10433037245,,,,,
영업활동현금흐름,215472899059,-31626314022,90489446786,132959024370,39473568500,65682748641,,,,,
영업이익,89740402529,-17929192674,30762770654,33804624895,40216878292,19462720286,,,,,
매출액,1201374703500,1000187191029,1007545638572,811565474629,792025672214,395470686385,,,,,
종가,22850,12400,6790,10550,12050,6550,10400.0,6500.0,10300.0,12250.0,14150.0
시가총액,727867167550,282136691600,154492591610,240043717450,269033204350,143742468250,348132054400.0,209299993500.0,331659989700.0,359741670750.0,384880000000.0
상장주식수,31854143,22752959,22752959,22752959,22326407,21945415,33474236.0,32199999.0,32199999.0,29366667.0,27200000.0
