,Name,ROE,ROA,PER,PBR,PSR,PCR,POR,GP/A,시가총액
0,3S,0.03103999608414805,0.014002368952002514,139.49744027871532,4.33,4.131434314022385,111.35198161386465,-68.87721478673826,-0.02835908264714849,96997436315
1,AJ네트웍스,-0.07083830730638044,-0.002088448586135612,-65.1483664063261,4.615,,12.190308714900173,,,216084891425.0
2,AK홀딩스,-4.012437580547846,-0.06400992151878684,-1.2536020558638121,5.03,0.1271675787216116,-1.7378587969443515,-1.50380913969694,-0.05335980949537498,333176159150
3,APS홀딩스,-4.250088368977497,-0.16826245714784252,-3.61566805162054,15.366908732275986,6.60604702725519,-19.918749187397434,-15.393550213032704,-0.03952182454191419,167436554410
4,AP시스템,3.265537542876412,0.06719638508698428,14.42159639622741,47.094264460091765,0.6080372874876536,5.657444396953947,7.77551175825363,0.12463220108712375,359833640950
5,BGF,0.1868110419100866,0.010783323134142094,26.202947909021333,4.895,3.0349124764989437,21.945088054592333,32.00148702497768,0.008829428899648672,468533691945
6,BGF리테일,7.099741657585965,0.05175136671991752,19.085201481270847,135.5,0.3788816024896329,4.616159818326063,14.43839699422915,0.06840685023244107,2341969263000
7,BNK금융지주,0.34519479772862616,0.004927918502516116,3.290895481261172,1.136,4.790312235054446,-1.665850295476137,2.4743843533418013,0.006554060491875985,1851312197280
8,BYC,4.353600375476191,0.026924139153740347,9.786765526628798,42.60766607142857,1.1055755836124743,5.0539031736734366,7.8005628491149865,0.03377964411040905,178952197500
9,CJ CGV,,,,,,,,,884520000000.0
10,CJ ENM,0.5935166184274413,0.010450695756294946,46.61191491490515,27.66494611872212,0.902079326987841,5.400861655978305,11.243948199619833,0.04332347790524777,3059116983000
11,CJ,1.1394068396536625,0.005097013767490017,13.17205294181941,15.008327214189183,0.08397740149937336,0.8860420799584734,1.9327655069701841,0.034736823969818816,2687201515800
12,CJ대한통운,1.2504040910482501,0.014789573983197931,26.471442501640656,33.1,0.3501900014163047,6.5964156091101325,11.604694265877985,0.03373646460218609,3775442932000
13,CJ씨푸드,,,,,,,,,183246942300.0
14,CJ제일제당,9.601316426660881,0.030705483699505116,7.293309523730141,70.02537253491245,0.2365631347912966,2.8653121716880983,4.218777382928593,0.05308281911307757,5735644866000
15,CJ프레시웨이,-3.5814672625039314,-0.03786827849671611,-5.319049038767833,19.05,0.0912451450619427,1.791298951867431,-63.78262956639067,-0.0031579637231495933,226153713300
16,CMG제약,,,,,,,,,802797170320.0
17,CS홀딩스,2.0503393480366086,0.03655997712761248,5.75514487945598,11.8,0.5174411014774877,4.600279344855059,4.28358481849322,0.04911959820443548,68114438000
18,DB,0.06234491824544684,0.013272379125414145,25.535361097634716,1.592,0.587766179992172,8.801407171398413,5.958669448199455,0.05687762956788452,160134450668
19,DB하이텍,0.7459952289141284,0.14086903089418853,13.63842750573218,10.174201849167423,2.419361219932852,7.3046931360343015,9.460907400187843,0.20307059189850984,2264327988000
20,DMS,3.296685701467961,0.1048030595599242,5.265894771912855,17.36,0.9400256373376105,3.5044511526330524,6.30775043179031,0.08749266309517535,213294169480
21,DRB동일,0.6289820921224285,0.008072547554569052,21.908413884250596,13.78,0.2764943661337152,2.6418029694122636,6.523418593819785,0.027111047740113737,137317700000
22,DSR,1.121993740875,0.035486836843646834,11.140882114236865,12.5,0.4329381898897791,5.763630172426571,8.281107376519113,0.04774176301629004,100000000000
23,E1,1.6422906393002916,0.01509616710457588,5.437527186908088,8.93,0.07798721075434129,1.7494182058020615,7.748351721180243,0.010593971724961323,306299000000
24,EDGC,-2.198166490506444,-0.05884615297939227,-43.21782945667406,94.99998450408324,4.4054749523359185,-74.16143929598553,-79.80356765978372,-0.031868287073164914,407687978000
25,EG,-0.9018279414666667,-0.050662061333961055,-10.822463522395473,9.76,1.6245779023441882,135.55350016285308,-11.238973022681726,-0.04878455617338325,73200000000
26,EMW,-0.3707389182743865,-0.10911351137211309,-14.997076718784093,5.56,3.167732566924175,-18.39282586136845,-11.03230895015841,-0.14832649343816684,88360067660
27,ESR켄달스퀘어리츠,0.11222514221991702,0.015097672226203075,134.27423042405186,15.06894460580913,30.633553516366007,81.9919217116392,89.63049222602466,0.02261761894887133,726323130000
28,GH신소재,0.009434829090909091,0.0006088161969227807,1763.6779468568684,16.64,1.537686666439151,273.1400532994971,107.42716296026737,0.009995197402719386,91520000000
29,GS,-0.3965693842251653,-0.0076715775804910786,-18.580502534402694,7.368458448662199,0.22590806135553418,2.007242263167705,3.7900173087514353,0.03760979306032236,3488972443900
30,GS건설,0.8169570644907062,0.023940410608367435,9.193164766880635,7.510420901330191,0.29939578984256493,5.471882822234568,4.0388746985615285,0.05449244052752731,3030762873600
31,GS글로벌,-0.3980888666558331,-0.08584612087556868,-1.9493134950465447,0.776,0.056878972955606635,1.3324049913075635,4.957147230038399,0.033757521040755266,160115502160
32,GS리테일,2.00677692112987,0.02152783994563673,17.166830870570163,34.45,0.2993178216826278,3.2912117603773763,10.502748721123675,0.03518743494378401,2652650000000
33,HB테크놀러지,0.02093612600595419,0.0029381651480193563,212.5512618110165,4.45,0.6408566027505084,10.811630488068403,35.7690281755104,0.01745953808295645,175753697850
34,HDC,0.6405658124311484,0.019895988243728582,3.4500748511887576,2.21,0.1670467869714123,-1.3920098069374258,1.2120092051327003,0.05663541859958038,660146017050
35,HDC현대EP,0.8019809470930233,0.026278597725529804,15.30932965699283,12.277790697674419,0.30631192601121454,3.5554138625813048,6.106434857568124,0.06588258531981721,211178000000
