,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000,20000000000
자산총계,5084932952179,5456657504692,5453865783668,5254771564848,5177866749403,5191468773720,4141073291032,3914700975467,4008794417565,3845130468302,3632594120121
당기순이익,-261540309071,48464791274,64509519931,211120898816,161892654956,207073750996,164521940706,107487094207,142168708895,228402234639,190740374645
영업활동현금흐름,456381094337,365831965025,140737274691,264706453526,381888496430,500860651823,294600135698,242731364426,184579711180,293435962701,289627193835
영업이익,13075575150,89528018488,117512339902,274575665936,234786263384,287551536912,255646237550,197041412025,228483990337,339292486907,284190223382
매출액,4257354741944,4930662596032,5176889456538,4794418481981,4034333362229,4048202083228,3896057292559,3662167369106,3698766418953,3958138944573,3326245718468
종가,76500,78600,97300,152000,129000,131000,162000,94500,82700,124500,130000
시가총액,306000000000,314400000000,389200000000,608000000000,516000000000,524000000000,648000000000,378000000000,330800000000,498000000000,520000000000
상장주식수,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000,4000000
