,2020,2019,2018,2017,2016
자본금,6750000000,6750000000,6750000000,5000000000,5000000000
자산총계,65557429198,53176680704,44943083300,17890040098,16142081860
당기순이익,5078208095,4222053671,3611541673,2318969757,2801683938
영업활동현금흐름,-3666291110,-4660617116,-17681643153,292185742,181353291
영업이익,6547481688,5392669158,4673629571,2948047705,3563066865
매출액,11551344557,8535675194,8114714051,6920119994,6335099547
종가,5250,4295,4970,,
시가총액,70875000000,57982500000,67095000000,,
상장주식수,13500000,13500000,13500000,,
