,2018,2017,2016,2020,2019
자본금,2815611000,2815611000,2815611000,,
자산총계,37133610462,35716017994,40435371943,,
당기순이익,5500098120,3621137897,-499993991,,
영업활동현금흐름,7611927713,4909020119,5291451738,,
영업이익,5863934979,3804075535,3537348928,,
매출액,77999971783,77432986691,91823778235,,
종가,,,,71600.0,42850.0
시가총액,,,,484277698000.0,289822616750.0
상장주식수,,,,6763655.0,6763655.0
