,2020,2019,2018
자본금,2432000000,2000000000,2000000000
자산총계,79453958959,43317257584,36529141695
당기순이익,10041587873,7286317192,4658297964
영업활동현금흐름,9344108449,7833651012,6388906930
영업이익,9592474649,7723479484,5270476022
매출액,40633124493,32622524461,26284600317
종가,42800,,
시가총액,173939200000,,
상장주식수,4064000,,
