,2020,2019,2018
자본금,12579150000,10549150000,10549150000
자산총계,229529528906,158080125257,112163710522
당기순이익,23840266210,29518079634,11456500228
영업활동현금흐름,27481496773,43612852456,17463690920
영업이익,41029973016,39352184734,20290046472
매출액,447628198910,380091253987,339117474003
종가,19450,,
시가총액,485910403000,,
상장주식수,24982540,,
