,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,50454548000,48618455500,44861732000,43635233500,42413260500,37683984500,29834942000,27863137000,23267967000,20629516000
자산총계,69274880945,50859292820,57443802451,45854238148,43895533875,48649996746,23903472180,26139431934,19279543396,13772108657
당기순이익,2342934563,-24195256664,-8105264355,-210729728,-7404561942,,-7957419884,-7114929829,-8718763974,-3529425024
영업활동현금흐름,-846831414,14529577773,2730879862,1475493233,-837583774,-5289795893,-8145245799,,-3702963440,-7605257863
영업이익,-1005143899,4871558708,5325278314,44529316,-2532276530,-4750749837,-5824532028,-6929046713,-5674428103,-3937350650
매출액,57817812934,75765281531,58590555341,49566496852,37062381437,16313400461,25770467646,12341843486,7984670828,5475542858
종가,2110,3060,4970,2250,1705,1575,,,,
시가총액,212918192560,297544947660,445925616080,196358550750,143315868740,118704551175,,,,
상장주식수,100909096,97236911,89723464,87270467,84056228,75367969,,,,
