,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,13684570000,13684570000,13684570000,13684570000,13684570000,13684570000,13684570000,13684570000,10849510000,10849510000,10849510000
자산총계,921746308017,479713960645,500488797322,556503135113,520500737082,526992025592,542551001126,551207963636,462312486043,419488243635,351613280172
당기순이익,-11775816310,2124891038,-27865837303,29629689851,-4194050255,7408040736,4652410820,34021477074,41829790542,13916614354,8788439796
영업활동현금흐름,18845438888,47211164274,10030345062,34764902033,14797334323,61607416404,69547385565,63726524239,88815882730,5079398933,22288089000
영업이익,13403451925,13862521166,-17887232935,11068937019,16046089637,47049313273,32591647031,46823981513,44254682976,4875226444,3829588773
매출액,902121287287,543423598661,535824715216,591598881619,545300470697,564337230088,553161676223,547056320925,519497206339,402015465556,319177060312
종가,14900,11950,5110,13200,11350,10750,12000,13050,21600,8430,7190
시가총액,351949189900,282267974450,120702037610,311793913200,268095523850,253923073250,283449012000,308250800550,404661528000,157930401900,134699832700
상장주식수,23620751,23620751,23620751,23620751,23620751,23620751,23620751,23620751,18734330,18734330,18734330
