,2020,2019,2018,2017,2016,2015,2014,2013
자본금,10558641500,10558641500,4780000000,4780000000,4780000000,4780000000,4780000000,3750000000
자산총계,105602674444,88866125253,63972829319,60542607960,61865461737,72607494015,52098525768,42955850793
당기순이익,7189910239,-16350335359,-11228628800,-1410454278,-2241425987,603258291,3716911629,2178149120
영업활동현금흐름,-8759699146,-4107548095,-516613676,3107840850,10246661563,-5445434700,-2217651644,3848338931
영업이익,4198562929,-3016073993,-5332632111,504903438,-1723029639,1411213430,4449465880,2798541651
매출액,113377492603,81492911149,71225457891,98389224141,86162555207,89298322304,81334576119,61986425327
종가,15700,5250,12400,11850,10950,14300,16900,
시가총액,331541343100,110865735750,118544000000,113286000000,104682000000,136708000000,161564000000,
상장주식수,21117283,21117283,9560000,9560000,9560000,9560000,9560000,
