,2020,2019,2018
자본금,15950630000,15950630000,15950630000
자산총계,2417365034469,2063516498234,1653249379272
당기순이익,-11616487928,87823448279,20394860671
영업활동현금흐름,168340866002,163249196133,76768064089
영업이익,60927548911,153887309275,64994780288
매출액,1817189980493,1812470395896,1116772144102
종가,156500,144500,142000
시가총액,499254719000,460973207000,452997892000
상장주식수,3190126,3190126,3190126
