,2020,2019,2018,2017,2016,2015,2014
자본금,4072560500,3882447000,3871321000,3843821000,3838821000,3816321000,2218711000
자산총계,64432488990,71080647576,74861219328,79079450811,66161922072,77423332727,35113858642
당기순이익,-12283183111,-1890150432,-14719435572,-6544946251,-2076307797,-810809634,1552990818
영업활동현금흐름,2150027111,-2111813229,-2954657237,-1541077540,-3541342283,-4413415183,747138068
영업이익,-10804316250,-1163669259,-4911919967,-5339874121,-3157170362,-1236529964,2140149397
매출액,27775058657,34814231567,31685937694,13293959563,11687567981,14595946251,15639341557
종가,4470,5510,9600,12500,14550,23350,
시가총액,36408690870,42784565940,74329363200,96033025000,111709691100,177871940700,
상장주식수,8145121,7764894,7742642,7682642,7677642,7617642,
