,2020,2019,2018,2017,2016,2015,2014,2013
자본금,7858720000,7858720000,7858720000,7858720000,7858720000,7858720000,5617885000,3889040000
자산총계,142871320369,85647965949,89263401058,90670634876,85687396327,74954410098,35985834526,30844365563
당기순이익,-22384006221,-4370276106,-3082155249,-4754604133,-1218280597,277295194,-6325458076,-3432032779
영업활동현금흐름,4466417471,-538075632,-1128075468,-6292555483,3503437731,-1019656324,-2448868906,-512273359
영업이익,-6998079905,-5088389237,-4020567908,-5070659769,-1623643568,1367663710,-1803570823,-2405752766
매출액,26357703198,24284457085,22316891009,18094301462,17953023532,18571078685,12987984497,3654519519
종가,23200,9050,12000,13150,11650,19750,,
시가총액,364644608000,142242832000,188609280000,206684336000,183108176000,310419440000,,
상장주식수,15717440,15717440,15717440,15717440,15717440,15717440,,
