,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,5000932500,5000932500,5000932500,5000932500,5000932500,5000932500,5000932500,5000932500,5000932500,5000932500,3291455000
자산총계,196869313274,181014312253,156377977343,137641189361,129948072505,96987146790,84339360289,76434946103,58335797870,53983639153,45581543471
당기순이익,22958638030,24320046625,20801653045,19616140729,26871454509,15776699496,10587112487,9413724229,5502318378,6599769255,7376203448
영업활동현금흐름,6286746282,18682418245,27834391921,18854444102,19898741227,17568385862,8267511222,14485492224,6516495932,4164513199,5633387336
영업이익,29065623397,26425917873,22559420649,28634930173,30465390520,18374747783,13256807622,12820596097,7506155161,7537269102,7686586944
매출액,160263843148,136009901268,131403852422,123460627030,117303133403,93438698936,70811409529,66501263820,46820976106,35629218760,30497130281
종가,30350,31500,33000,40900,59800,44550,34300,24750,20200,9120,11750
시가총액,303556602750,315058747500,330061545000,409076278500,598111527000,445583085750,343063969500,247546158750,202037673000,91217008800,73846517500
상장주식수,10001865,10001865,10001865,10001865,10001865,10001865,10001865,10001865,10001865,10001865,6284810
