,2020,2019
자본금,165600000000,
자산총계,1814910420874,
당기순이익,15149976623,-14019480
영업활동현금흐름,11371821847,0
영업이익,22316308420,-14019480
매출액,42374581321,0
종가,5160,
시가총액,854496000000,
상장주식수,165600000,
