,2020,2019,2018,2017,2016
자본금,10984502000,3679666000,3617166000,1492750000,1317750000
자산총계,80575589282,66226107019,57378890527,20490472647,15660691721
당기순이익,12148992179,8453916728,5094406872,3753072950,1981143894
영업활동현금흐름,7419054671,6430855616,3845774822,3818116811,-185353571
영업이익,7324167328,9032316211,5477317718,4871555358,2073104229
매출액,32972771325,29151665336,21240893559,17900842823,11821737962
종가,34500,25600,19650,,
시가총액,754756776000,188398899200,142154623800,,
상장주식수,21877008,7359332,7234332,,
