,2020,2019,2018,2017
자본금,3380598000,3380598000,2411950000,2411950000
자산총계,18551829870,21133741428,12204259857,11597092731
당기순이익,-4020570719,-1956383231,-2188504536,-775566288
영업활동현금흐름,-166165832,-1666869566,136330769,-169292236
영업이익,-2442776818,-1712999816,-371406432,-296206061
매출액,6235193370,9724378450,9968681801,6415492051
종가,5030,7920,,
시가총액,34008815880,53548672320,,
상장주식수,6761196,6761196,,
