,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,42000000000,42000000000,42000000000,42000000000,42000000000,42000000000,42000000000,42000000000,,,
자산총계,298300105265,282069114250,285962213139,298989298187,312406624587,304515079681,340150424920,409130863521,,,
당기순이익,7999188999,-3308954951,690807090,4537489911,3465478245,-3642659245,-43092248919,1146697321,,,
영업활동현금흐름,23085234551,12716759231,15808599135,21332336362,15587649096,-18021859029,5392090526,10045073762,,,
영업이익,2671990470,491889398,862143078,2158001336,1287064643,-5462736204,-26066918370,3342749429,,,
매출액,133102172088,130801036385,132360035619,131050998797,130755833604,117434969522,106365922903,109788065757,,,
종가,3000,2050,2100,2095,2480,2915,2660,2790,3530.0,2760.0,3680.0
시가총액,126000000000,86100000000,88200000000,87990000000,104160000000,122430000000,111720000000,117180000000,148260000000.0,115920000000.0,154560000000.0
상장주식수,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000,42000000.0,42000000.0,42000000.0
