,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,65104530000,65104530000,65104530000,65104530000,65104530000,65104530000,65104530000,218954385000,218954385000,218954385000
자산총계,498245352576,521957790172,541149250545,520624313058,473581039781,464546228823,410411511608,10828841652920,11276395545501,11428188365924
당기순이익,62940465244,-2460450006,25230851597,19185559913,8541503291,47475305297,49258102807,10555825607,,-785878085994
영업활동현금흐름,25718509796,31550423699,4338587398,28729116272,16276821455,49068276581,255817492061,605032335140,342528041814,-110714583115
영업이익,-15196368259,-7814058317,32609871445,57913544423,21194348204,67192445704,37156125069,21729040769,-79336323148,-489179462654
매출액,334813526535,366111471934,384328006605,433552428977,415891106130,516368007864,480817790180,472887049376,10606493114987,9539084632862
종가,5740,6660,6450,6350,5720,7780,8340,,,
시가총액,149480000880,173438467920,167969687400,165365506200,148959164640,202605297360,217188712080,,,
상장주식수,26041812,26041812,26041812,26041812,26041812,26041812,26041812,,,
