,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,4325248000,4325248000,4325248000,4325248000,4325248000,3610390000,3610390000,2868790000,2868790000
자산총계,76762249720,64760523856,56785374719,52983396341,52447279261,44440741503,37022567838,27320621162,28629630000
당기순이익,11241412338,6745157273,3240774811,3148275050,7023488105,7083465774,3629241877,3208632538,1225082983
영업활동현금흐름,9407119242,12181603159,3710680233,1013447094,7080038201,7671885273,728972234,4965193261,1600736304
영업이익,15655288153,7701723520,3474698651,4982330598,7381117418,7923779907,4276427771,3706828539,723480349
매출액,67519209000,48399859471,46826223721,52219312800,53259821589,46739956502,38355794079,33670766385,29540689079
종가,16350,8180,6110,9790,16400,18850,12000,4865,
시가총액,141435609600,70761057280,52854530560,84688355840,141868134400,136111703000,86649360000,27913326700,
상장주식수,8650496,8650496,8650496,8650496,8650496,7220780,7220780,5737580,
