,2020,2019,2018,2017
자본금,12005227100,3093668900,1958419900,1565920100
자산총계,45387413354,55633996724,49385746449,18780494817
당기순이익,-12185418853,-36530356121,-11832274005,-5309971090
영업활동현금흐름,-6901133910,-5691843400,-4241145580,-1088296956
영업이익,-3972734779,-6117680817,-4964479425,-953150008
매출액,8222168663,12996701043,13304514757,14909489231
종가,668,,,
시가총액,71972351388,,,
상장주식수,107743041,,,
