,2020,2019,2018,2017
자본금,31670795000,31670795000,31670795000,23760060000
자산총계,713030329378,720143143351,728182494390,508748117969
당기순이익,6814080938,6616279228,5065502394,3663608699
영업활동현금흐름,11665417840,10061875167,7277466629,6067130248
영업이익,16228571135,16109975339,12944980773,10255354973
매출액,21179550414,21038879491,17324241976,13716940113
종가,5410,6800,4850,
시가총액,342678001900,430722812000,307206711500,
상장주식수,63341590,63341590,63341590,
