,2020,2019,2018
자본금,7759253000,3549300000,114750000
자산총계,58537096638,35321574109,9286335484
당기순이익,-55072387373,-44066664922,-8382369046
영업활동현금흐름,-12770563588,-5708991592,-1983391669
영업이익,-12344974086,-7351898659,-2353458937
매출액,4591484668,576519070,64162367
종가,43350,,
시가총액,672727235100,,
상장주식수,15518506,,
