,2020,2019,2018,2017,2016,2015,2014
자본금,82666700000,82666700000,82666700000,55589965000,45589965000,38289966000,27938931000
자산총계,405736362822,364345053477,346631230410,331963284954,220602296831,230283413058,208983800118
당기순이익,5719211043,13087164769,14876312598,14208753098,12737352556,20861365783,12375824053
영업활동현금흐름,27198404811,21445742949,38958769271,61328663646,11548159774,9135257439,14033824233
영업이익,20277140352,27616988694,30655565972,22033481273,18375792255,26056166866,18397065074
매출액,465835554473,465931134864,483134075328,345047914736,295927528500,366287628945,316831903573
종가,3375,3140,2860,6040,4625,,
시가총액,91350045000,84989375200,77410704800,110145355440,82119187500,,
상장주식수,27066680,27066680,27066680,18235986,17755500,,
