,2020,2019,2018,2017
자본금,76981655000,76981655000,71430000000,50000000000
자산총계,649501373963,696683399862,703889697648,582651674879
당기순이익,29873111498,53000368886,23369598811,2448806209
영업활동현금흐름,-14228048967,117432668159,107300289341,-10186365773
영업이익,38750637313,41114420804,38977787464,5261520666
매출액,849545893061,845658644418,811729800927,149114770366
종가,40150,41250,35400,
시가총액,618162689650,635098653750,505724400000,
상장주식수,15396331,15396331,14286000,
