,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,4000000000,3800000000,3600000000,3400000000,3400000000,3100000000,3100000000,,,
자산총계,37634892777,37345661447,32745585803,33106157786,29578465884,27942827048,26765626309,,,
당기순이익,2530753139,5145956187,2596980703,3106936387,1319691990,1390081037,459644251,,,
영업활동현금흐름,4685158255,6502128824,2726728837,4669065507,3801126887,3150565277,3480540066,,,
영업이익,4213640889,5050030988,2301010786,2785785835,2212139451,1643588518,-413315656,,,
매출액,14714020362,18216685142,13950490299,15259224016,15151906957,14813921094,15924844483,,,
종가,1625,1460,1360,1740,5060,5040,3985,5240.0,3970.0,4065.0
시가총액,65000000000,55480000000,48960000000,59160000000,34408000000,31248000000,24707000000,32488000000.0,24614000000.0,25203000000.0
상장주식수,40000000,38000000,36000000,34000000,6800000,6200000,6200000,6200000.0,6200000.0,6200000.0
