,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011
자본금,7670000000,7670000000,7670000000,7670000000,7670000000,7652500000,5025000000,5000000000,3653235000,3653235000
자산총계,163157535790,141735192079,138084051432,146606165717,146903560113,127187956046,109800322934,84934544180,57914485330,42409753008
당기순이익,11129395897,4097035037,1017002415,6228206570,15465850386,15152732528,12412689150,10772865151,7346696840,5628416408
영업활동현금흐름,9786105215,7439590008,1815073802,15572832797,22608530122,12267364713,7739856716,13095881788,2584271941,4502610994
영업이익,12650275966,3354150616,-576917378,9112603359,18205663991,16028925463,16215833719,15814786193,9271099494,7779085287
매출액,209840740109,166710367419,158585742697,176625545397,213171116342,197997560765,180410314377,153895744699,107227139966,81124699702
종가,9200,3030,2590,3970,5100,5590,8940,6300,,
시가총액,141128000000,46480200000,39730600000,60899800000,78234000000,85554950000,89847000000,63000000000,,
상장주식수,15340000,15340000,15340000,15340000,15340000,15305000,10050000,10000000,,
