,2020,2019,2018,2017,2016,2015,2014,2013,2012
자본금,9252845500,8479633000,7916274500,7916274500,7916274500,7916274500,7916274500,7916274500,7916274500
자산총계,48155283189,41973984223,18702972324,22697732708,21420375120,42294542698,37934586661,28014608802,27561463794
당기순이익,72730259,2273233726,150986568,-2265141839,-6225441791,8629167031,3860216924,685250000,-3050464296
영업활동현금흐름,5216050943,775974287,-1805219881,-63763346,-2836358157,-1452896010,2364818790,18992946,147356991
영업이익,4586128252,702896894,266947738,-495282130,902771830,142917000,1975525547,1026558318,-3421222855
매출액,45506775565,26737869784,19622960624,14286728508,13909021921,14587555547,22362584625,22200001645,9215651819
종가,9830,4035,2245,,,,,,
시가총액,181910942530,68430638310,35544072505,,,,,,
상장주식수,18505691,16959266,15832549,,,,,,
