,2020,2019,2018,2017
자본금,5326344500,4571242000,2033330000,2033330000
자산총계,89573320427,74318506409,58395401608,42037304875
당기순이익,-9339055474,-7592749360,-9409101261,-3884734878
영업활동현금흐름,-10397226124,-12263367,-8979500638,-1376593124
영업이익,-7427891624,1023537696,-916229778,-2355549473
매출액,31647423964,46298662168,28937384457,15007860096
종가,8070,,,
시가총액,73862200230,,,
상장주식수,9152689,,,
