,2020,2019,2018,2017,2016,2015,2014
자본금,1897500000,1897500000,1897500000,1897500000,1850000000,1850000000,1850000000
자산총계,94692625391,96066728551,95997369542,85264292010,86227686058,83032159754,68053675177
당기순이익,-4267740597,291023079,1220455580,-1271847861,-1074707007,-638287250,85681273
영업활동현금흐름,-1073946125,842126656,10127861272,-887068450,1069503578,2199521911,1631799580
영업이익,-3656300095,2229516433,3562683266,271912204,518971204,843727530,-367263793
매출액,71164978560,82543624812,75382744645,70086307532,72549059775,64306718136,58973282090
종가,4800,4700,2970,4980,3050,1875,3600
시가총액,18216000000,17836500000,11271150000,18899100000,11285000000,6937500000,13320000000
상장주식수,3795000,3795000,3795000,3795000,3700000,3700000,3700000
