,2019,2018,2017,2016,2020
자본금,5550000000,5550000000,5000000000,5000000000,
자산총계,228597212756,215213976845,198006606928,185909865961,
당기순이익,-8051798119,9617595408,19396577276,23898611784,
영업활동현금흐름,-244805458,17040161454,12319373294,13532818364,
영업이익,11365841189,15788720793,21927568933,17207699845,
매출액,246148800696,245356818143,264918734359,262966458105,
종가,21300,11650,,,24050.0
시가총액,236430000000,129315000000,,,266955000000.0
상장주식수,11100000,11100000,,,11100000.0
