,2020,2019,2018,2017,2016,2015,2014
자본금,34618821500,34618821500,34618821500,34618821500,34618821500,25799610000,18620000000
자산총계,411980585647,370556224050,355933917761,290410010582,265862667659,238127913167,220276238817
당기순이익,23802889375,4276231434,27404281101,27503927600,13837451984,14989715976,21005078770
영업활동현금흐름,44091746761,24876281769,29202383242,32878583888,16980522553,36177806955,9897042943
영업이익,32221236896,10166911192,20302159058,41422809186,27154432370,26331814144,33911165322
매출액,237094409997,225233901230,236789278099,209731268717,186697989727,155021911596,166229914338
종가,1990,2020,1575,2350,2320,,
시가총액,137782909570,139860038860,109049287725,162708461050,160631331760,,
상장주식수,69237643,69237643,69237643,69237643,69237643,,
