,2020,2019,2018,2017
자본금,2176788500,2044002500,1435500000,1355500000
자산총계,57446845425,58962831489,22394837014,12822452530
당기순이익,627671399,-11268302607,4095615111,644606685
영업활동현금흐름,5070475992,2131809167,3825828987,1794639629
영업이익,2070807621,4123861565,3529263460,872018623
매출액,29042823201,32525172944,28033206321,23807350020
종가,26200,30050,,
시가총액,114063717400,122844550250,,
상장주식수,4353577,4088005,,
