,2020,2019,2018
자본금,10517583000,10277983000,8125000000
자산총계,798986124781,650356539054,464451919535
당기순이익,46658311822,34481003746,36856556181
영업활동현금흐름,125031118212,12799839106,23838410238
영업이익,54769281487,37077549715,50283592293
매출액,854748843876,616085054981,589185697593
종가,170100,53000,
시가총액,3578081736600,1089466198000,
상장주식수,21035166,20555966,
