,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010
자본금,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000,32579342000
자산총계,78401977622,83262380875,103702689344,107032674039,109986867057,116734084427,131292920714,155722076482,167664594566,224680275017,248543223365
당기순이익,-7438624539,-7980950610,-3785472507,509267146,-1205251490,-2287128436,-3392589418,-21511603979,-33904257930,-4663046286,9528146720
영업활동현금흐름,4528538700,-68130208,-4492040335,5548529063,13397967623,-4046717190,19117436173,-4676173412,-10373179350,-3438094951,29345475370
영업이익,-1705169490,-4897973215,-7416597511,292446294,3886320423,1647591096,3426486641,-11630261703,-28711484088,-8737176310,12237007442
매출액,56440310099,70128872935,124753911493,117723560377,111661317972,120816202423,194798104437,247780946266,220845769026,343586464959,428035732739
종가,1130,1290,1060,1110,1435,1460,1220,1100,1675,2330,3180
시가총액,36814656460,42027351180,34534102520,36163069620,46751355770,47565839320,39746797240,35837276200,54570397850,75909866860,103602307560
상장주식수,32579342,32579342,32579342,32579342,32579342,32579342,32579342,32579342,32579342,32579342,32579342
