,2020,2019,2018,2017,2016
자본금,3774744500,3223235000,3061759000,2454067000,2454067000
자산총계,195148791954,211897881249,118501405967,53000465950,31525695025
당기순이익,-12150404076,-8654331025,-7686888152,335889524,-3242043018
영업활동현금흐름,-12403298954,-5943159158,-7303532165,1119317180,-4878601086
영업이익,-15533657502,-6291250579,-8769415678,-320828060,-3092826474
매출액,90144211138,60922489710,33320492480,39796329223,27278892487
종가,63000,36150,33050,,
시가총액,475617807000,233039890500,202382269900,,
상장주식수,7549489,6446470,6123518,,
