,2020,2019,2018,2017,2016
자본금,5762492000,4865963500,4836513500,,
자산총계,60810745935,20513536902,43196042381,,
당기순이익,-20773087713,-22697843924,-16415136844,,
영업활동현금흐름,-19848812787,-24000731900,-13804377277,,
영업이익,-21024930152,-23169936084,-16687561299,,
매출액,0,0,0,,
종가,34050,30500,19900,30500.0,35100.0
시가총액,301124205450,263079763000,169879653400,230768856000.0,253676896200.0
상장주식수,8843589,8625566,8536666,7566192.0,7227262.0
