,2020,2019,2018,2017
자본금,4162210000,4162210000,3279960000,2186640000
자산총계,76089407144,75643423452,59050157493,58252180854
당기순이익,332335296,1730842736,3119198197,1815812134
영업활동현금흐름,3410874239,-2586975170,2085934112,1308318483
영업이익,76617365,955862462,3923178894,3258881409
매출액,41232906020,44996481746,51026064802,48445926322
종가,4575,6470,,
시가총액,38084221500,53858997400,,
상장주식수,8324420,8324420,,
